,Unnamed: 0,Location,Arthritis,Cancer_x,Diabetes_x,Cholesterol_x,Obese_x,HBP_x,Routine_x,NoInsurance_x,ElderlyPoverty_x,ElderlyAlone_x,FemaleServices_x,MaleServices_x,Cancer_y,Diabetes_y,Cholesterol_y,Obese_y,HBP_y,Routine_y,NoInsurance_y,ElderlyPoverty_y,ElderlyAlone_y,FemaleServices_y,MaleServices_y,NoVehicle,INTPTLAT10,INTPTLON10,GEOID10,Latitude,Longitude
92,92,48453001817,17.1,6.2,7.5,36.2,22.7,26.6,67.3,13.8,16.1,56.6,34.8,35.9,6.2,7.5,36.2,22.7,26.6,67.3,13.8,16.1,56.6,34.8,35.9,10.9,+30.3666405,-097.7346652,48453001817,+30.3666405,-097.7346652
93,93,48453001818,16.4,4.5,9.4,34.5,29.3,25.4,62.1,31.7,20.5,22.0,26.2,30.9,4.5,9.4,34.5,29.3,25.4,62.1,31.7,20.5,22.0,26.2,30.9,12.9,+30.3602090,-097.7222083,48453001818,+30.3602090,-097.7222083
94,94,48453001819,14.9,3.1,11.0,33.6,32.4,24.8,58.0,48.5,43.3,5.0,21.5,24.7,3.1,11.0,33.6,32.4,24.8,58.0,48.5,43.3,5.0,21.5,24.7,11.0,+30.3634311,-097.7026509,48453001819,+30.3634311,-097.7026509
95,95,48453001820,13.5,2.8,10.0,31.8,33.5,23.1,58.1,46.3,15.7,32.4,22.1,26.0,2.8,10.0,31.8,33.5,23.1,58.1,46.3,15.7,32.4,22.1,26.0,14.6,+30.3718014,-097.7148158,48453001820,+30.3718014,-097.7148158
96,96,48453001821,16.3,4.3,9.9,34.8,28.9,25.8,63.7,30.5,5.7,25.7,27.2,29.4,4.3,9.9,34.8,28.9,25.8,63.7,30.5,5.7,25.7,27.2,29.4,6.2,+30.3809890,-097.7086031,48453001821,+30.3809890,-097.7086031
97,97,48453001822,14.6,3.1,10.4,34.0,32.1,25.3,59.6,44.3,10.7,47.1,22.4,25.4,3.1,10.4,34.0,32.1,25.3,59.6,44.3,10.7,47.1,22.4,25.4,16.5,+30.3741925,-097.6963167,48453001822,+30.3741925,-097.6963167
98,98,48453001823,14.2,2.7,10.9,33.0,33.7,24.6,59.0,46.6,26.1,33.6,20.3,24.0,2.7,10.9,33.0,33.7,24.6,59.0,46.6,26.1,33.6,20.3,24.0,12.5,+30.3700995,-097.6868974,48453001823,+30.3700995,-097.6868974
99,99,48453001824,17.7,6.2,8.4,37.8,23.3,28.9,68.0,15.9,11.1,24.4,33.7,36.5,6.2,8.4,37.8,23.3,28.9,68.0,15.9,11.1,24.4,33.7,36.5,2.4,+30.3851030,-097.6791938,48453001824,+30.3851030,-097.6791938
100,100,48453001826,15.2,5.2,7.4,33.2,22.3,25.1,66.6,18.6,0.0,51.5,31.1,35.2,5.2,7.4,33.2,22.3,25.1,66.6,18.6,0.0,51.5,31.1,35.2,13.3,+30.4022431,-097.6830253,48453001826,+30.4022431,-097.6830253
101,101,48453001828,14.8,5.4,6.5,34.7,21.8,23.7,67.6,10.5,1.5,23.3,37.4,36.4,5.4,6.5,34.7,21.8,23.7,67.6,10.5,1.5,23.3,37.4,36.4,1.0,+30.4215881,-097.7237245,48453001828,+30.4215881,-097.7237245
102,102,48453001829,10.9,3.7,5.0,28.7,21.5,18.3,63.4,14.2,0.0,45.1,35.7,34.8,3.7,5.0,28.7,21.5,18.3,63.4,14.2,0.0,45.1,35.7,34.8,5.9,+30.4163985,-097.7128339,48453001829,+30.4163985,-097.7128339
103,103,48453001832,21.1,5.7,11.6,38.8,30.5,31.3,66.5,26.5,0.0,14.0,27.3,30.3,5.7,11.6,38.8,30.5,31.3,66.5,26.5,0.0,14.0,27.3,30.3,3.1,+30.3801453,-097.6688141,48453001832,+30.3801453,-097.6688141
104,104,48453001833,19.9,5.0,12.9,37.8,31.5,30.5,64.7,37.3,9.4,22.8,23.0,27.9,5.0,12.9,37.8,31.5,30.5,64.7,37.3,9.4,22.8,23.0,27.9,5.5,+30.3640065,-097.6764904,48453001833,+30.3640065,-097.6764904
105,105,48453001834,10.4,3.1,6.0,27.7,23.0,19.3,64.2,19.8,7.2,18.9,31.8,32.2,3.1,6.0,27.7,23.0,19.3,64.2,19.8,7.2,18.9,31.8,32.2,3.9,+30.3503556,-097.6605835,48453001834,+30.3503556,-097.6605835
106,106,48453001835,15.1,3.4,9.7,32.8,31.1,24.2,62.0,34.1,18.6,19.8,24.1,26.6,3.4,9.7,32.8,31.1,24.2,62.0,34.1,18.6,19.8,24.1,26.6,1.4,+30.3868000,-097.6614848,48453001835,+30.3868000,-097.6614848
107,107,48453001839,11.3,3.1,6.9,30.3,22.3,21.1,65.0,19.5,0.0,26.2,31.5,29.6,3.1,6.9,30.3,22.3,21.1,65.0,19.5,0.0,26.2,31.5,29.6,2.7,+30.4047330,-097.6589220,48453001839,+30.4047330,-097.6589220
108,108,48453001840,10.2,2.6,6.2,27.0,25.5,19.3,62.0,25.3,28.0,22.1,30.0,28.7,2.6,6.2,27.0,25.5,19.3,62.0,25.3,28.0,22.1,30.0,28.7,2.1,+30.4273273,-097.6533265,48453001840,+30.4273273,-097.6533265
109,109,48453001842,11.8,2.7,7.8,29.2,28.2,21.0,60.8,31.2,18.5,16.6,24.1,27.0,2.7,7.8,29.2,28.2,21.0,60.8,31.2,18.5,16.6,24.1,27.0,2.3,+30.3931926,-097.6203557,48453001842,+30.3931926,-097.6203557
110,110,48453001843,17.0,5.2,9.1,36.6,24.6,26.3,67.1,17.7,8.9,27.6,31.5,32.4,5.2,9.1,36.6,24.6,26.3,67.1,17.7,8.9,27.6,31.5,32.4,4.8,+30.3885474,-097.6999973,48453001843,+30.3885474,-097.6999973
111,111,48453001844,14.6,4.3,7.8,32.4,25.7,24.2,64.9,22.0,17.5,16.4,28.2,31.9,4.3,7.8,32.4,25.7,24.2,64.9,22.0,17.5,16.4,28.2,31.9,4.8,+30.3959573,-097.7013525,48453001844,+30.3959573,-097.7013525
112,112,48453001845,16.0,5.1,7.8,35.2,24.2,25.0,65.7,17.4,10.5,40.5,33.3,33.8,5.1,7.8,35.2,24.2,25.0,65.7,17.4,10.5,40.5,33.3,33.8,3.5,+30.3924928,-097.6904358,48453001845,+30.3924928,-097.6904358
113,113,48453001846,18.6,6.6,8.0,38.8,22.8,28.3,69.4,10.4,6.1,24.5,35.4,36.5,6.6,8.0,38.8,22.8,28.3,69.4,10.4,6.1,24.5,35.4,36.5,1.0,+30.4360238,-097.7137662,48453001846,+30.4360238,-097.7137662
114,114,48453001847,13.2,3.8,7.4,31.9,23.6,22.4,64.7,19.1,16.0,18.7,30.4,31.4,3.8,7.4,31.9,23.6,22.4,64.7,19.1,16.0,18.7,30.4,31.4,3.0,+30.4283475,-097.6904419,48453001847,+30.4283475,-097.6904419
115,115,48453001848,13.9,4.1,7.7,33.5,23.2,23.6,65.4,18.8,0.0,21.3,31.6,31.0,4.1,7.7,33.5,23.2,23.6,65.4,18.8,0.0,21.3,31.6,31.0,4.0,+30.4128065,-097.6797885,48453001848,+30.4128065,-097.6797885
116,116,48453001849,7.3,2.4,3.7,23.3,19.6,14.6,61.0,16.5,15.9,73.5,32.0,33.5,2.4,3.7,23.3,19.6,14.6,61.0,16.5,15.9,73.5,32.0,33.5,4.7,+30.3946433,-097.7201274,48453001849,+30.3946433,-097.7201274
117,117,48453001850,9.3,2.7,5.1,26.8,22.7,18.3,61.9,20.5,0.0,47.6,31.8,31.5,2.7,5.1,26.8,22.7,18.3,61.9,20.5,0.0,47.6,31.8,31.5,2.9,+30.4119050,-097.7017858,48453001850,+30.4119050,-097.7017858
118,118,48453001851,9.0,2.7,4.8,26.0,23.1,17.8,62.8,18.6,0.0,48.1,32.6,31.1,2.7,4.8,26.0,23.1,17.8,62.8,18.6,0.0,48.1,32.6,31.1,3.3,+30.4623101,-097.6772253,48453001851,+30.4623101,-097.6772253
119,119,48453001855,12.6,3.8,6.5,30.2,25.7,22.3,65.8,16.6,0.0,4.7,30.6,30.3,3.8,6.5,30.2,25.7,22.3,65.8,16.6,0.0,4.7,30.6,30.3,4.0,+30.4750263,-097.6114913,48453001855,+30.4750263,-097.6114913
120,120,48453001856,15.4,4.4,9.0,34.1,26.6,26.0,67.1,19.2,0.0,11.8,29.7,32.0,4.4,9.0,34.1,26.6,26.0,67.1,19.2,0.0,11.8,29.7,32.0,2.4,+30.3634692,-097.5762338,48453001856,+30.3634692,-097.5762338
121,121,48453001901,13.4,5.5,5.4,33.3,19.7,22.6,66.6,9.2,1.7,30.2,37.5,38.9,5.5,5.4,33.3,19.7,22.6,66.6,9.2,1.7,30.2,37.5,38.9,2.6,+30.2502689,-097.7862402,48453001901,+30.2502689,-097.7862402
122,122,48453001908,11.3,3.8,5.4,30.1,21.8,19.4,63.5,15.8,3.6,20.1,34.1,34.7,3.8,5.4,30.1,21.8,19.4,63.5,15.8,3.6,20.1,34.1,34.7,2.5,+30.2757842,-097.8781925,48453001908,+30.2757842,-097.8781925
123,123,48453001910,18.2,7.5,7.2,38.5,19.4,28.1,71.0,8.5,1.3,25.0,36.2,38.8,7.5,7.2,38.5,19.4,28.1,71.0,8.5,1.3,25.0,36.2,38.8,8.1,+30.2700666,-097.7980310,48453001910,+30.2700666,-097.7980310
124,124,48453001911,7.9,3.1,3.4,25.4,17.7,15.3,62.1,11.0,14.7,39.7,38.8,36.7,3.1,3.4,25.4,17.7,15.3,62.1,11.0,14.7,39.7,38.8,36.7,4.9,+30.2581392,-097.7859887,48453001911,+30.2581392,-097.7859887
125,125,48453001912,16.9,6.7,7.0,38.9,20.3,27.9,70.3,7.9,8.6,7.1,38.5,37.7,6.7,7.0,38.9,20.3,27.9,70.3,7.9,8.6,7.1,38.5,37.7,0.5,+30.3271346,-097.8209620,48453001912,+30.3271346,-097.8209620
126,126,48453001913,16.6,6.7,6.7,39.2,19.9,27.7,70.7,6.6,4.1,16.1,40.5,38.7,6.7,6.7,39.2,19.9,27.7,70.7,6.6,4.1,16.1,40.5,38.7,0.0,+30.3181162,-097.7980058,48453001913,+30.3181162,-097.7980058
127,127,48453001914,15.6,6.4,6.1,35.3,19.7,24.4,68.8,8.8,0.0,55.2,36.9,38.5,6.4,6.1,35.3,19.7,24.4,68.8,8.8,0.0,55.2,36.9,38.5,7.8,+30.2570613,-097.8391345,48453001914,+30.2570613,-097.8391345
128,128,48453001915,20.1,7.6,8.5,38.1,21.5,30.1,69.0,14.9,3.1,33.8,30.5,35.2,7.6,8.5,38.1,21.5,30.1,69.0,14.9,3.1,33.8,30.5,35.2,9.7,+30.2404350,-097.8367552,48453001915,+30.2404350,-097.8367552
129,129,48453001917,14.9,5.9,6.6,37.5,18.8,25.6,70.1,7.1,1.5,14.7,39.4,37.2,5.9,6.6,37.5,18.8,25.6,70.1,7.1,1.5,14.7,39.4,37.2,0.4,+30.2743803,-097.8286870,48453001917,+30.2743803,-097.8286870
130,130,48453001919,18.0,7.3,7.2,40.1,20.0,28.4,71.7,7.1,0.0,25.0,41.7,40.9,7.3,7.2,40.1,20.0,28.4,71.7,7.1,0.0,25.0,41.7,40.9,1.4,+30.2772616,-097.7950966,48453001919,+30.2772616,-097.7950966
131,131,48453002002,16.4,5.5,7.9,35.5,24.1,24.9,66.6,16.0,1.7,29.9,33.6,35.3,5.5,7.9,35.5,24.1,24.9,66.6,16.0,1.7,29.9,33.6,35.3,10.7,+30.2229526,-097.7848719,48453002002,+30.2229526,-097.7848719
132,132,48453002003,15.6,3.9,9.9,35.1,29.6,24.9,61.8,32.2,26.5,23.6,24.8,28.8,3.9,9.9,35.1,29.6,24.9,61.8,32.2,26.5,23.6,24.8,28.8,6.9,+30.2190129,-097.7747284,48453002003,+30.2190129,-097.7747284
133,133,48453002004,10.9,3.4,5.6,29.3,23.4,19.5,61.6,18.2,7.4,49.6,30.7,34.6,3.4,5.6,29.3,23.4,19.5,61.6,18.2,7.4,49.6,30.7,34.6,21.0,+30.2361336,-097.7881710,48453002004,+30.2361336,-097.7881710
134,134,48453002005,13.1,3.6,7.3,31.6,27.6,22.8,60.1,27.0,2.4,51.9,25.1,30.8,3.6,7.3,31.6,27.6,22.8,60.1,27.0,2.4,51.9,25.1,30.8,10.7,+30.2348342,-097.7801524,48453002005,+30.2348342,-097.7801524
135,135,48453002104,17.0,5.0,9.2,34.8,28.1,26.1,64.6,23.5,0.0,28.1,27.2,32.1,5.0,9.2,34.8,28.1,26.1,64.6,23.5,0.0,28.1,27.2,32.1,3.3,+30.3147279,-097.6965720,48453002104,+30.3147279,-097.6965720
136,136,48453002105,14.4,3.3,9.9,33.5,30.9,25.7,60.6,37.4,17.5,48.3,22.8,26.6,3.3,9.9,33.5,30.9,25.7,60.6,37.4,17.5,48.3,22.8,26.6,25.4,+30.3149177,-097.7055914,48453002105,+30.3149177,-097.7055914
137,137,48453002106,19.0,5.5,11.0,36.1,27.9,28.4,66.6,25.3,14.3,37.0,27.4,30.1,5.5,11.0,36.1,27.9,28.4,66.6,25.3,14.3,37.0,27.4,30.1,11.0,+30.3067312,-097.6903036,48453002106,+30.3067312,-097.6903036
138,138,48453002107,20.8,4.7,14.3,38.6,34.4,36.1,67.3,32.7,7.7,14.1,21.9,24.7,4.7,14.3,38.6,34.4,36.1,67.3,32.7,7.7,14.1,21.9,24.7,12.6,+30.2956742,-097.6828574,48453002107,+30.2956742,-097.6828574
139,139,48453002108,19.9,4.4,14.3,36.1,35.2,35.4,68.7,30.9,12.6,17.6,22.5,23.8,4.4,14.3,36.1,35.2,35.4,68.7,30.9,12.6,17.6,22.5,23.8,16.9,+30.2973102,-097.6691258,48453002108,+30.2973102,-097.6691258
140,140,48453002109,23.9,5.7,16.9,39.7,34.1,40.2,71.5,28.8,28.1,43.6,22.7,23.9,5.7,16.9,39.7,34.1,40.2,71.5,28.8,28.1,43.6,22.7,23.9,14.3,+30.2815095,-097.6905732,48453002109,+30.2815095,-097.6905732
141,141,48453002110,18.9,3.8,14.5,36.4,35.8,32.4,64.2,41.9,45.8,31.6,18.9,22.3,3.8,14.5,36.4,35.8,32.4,64.2,41.9,45.8,31.6,18.9,22.3,11.1,+30.2741418,-097.6774597,48453002110,+30.2741418,-097.6774597
142,142,48453002111,17.6,3.6,13.7,36.0,34.3,28.7,62.9,42.4,29.6,18.8,19.7,23.7,3.6,13.7,36.0,34.3,28.7,62.9,42.4,29.6,18.8,19.7,23.7,14.2,+30.2571318,-097.6854100,48453002111,+30.2571318,-097.6854100
143,143,48453002112,17.3,3.7,12.0,34.8,34.6,28.4,61.6,40.7,6.6,24.7,20.9,24.6,3.7,12.0,34.8,34.6,28.4,61.6,40.7,6.6,24.7,20.9,24.6,8.5,+30.3139332,-097.6825965,48453002112,+30.3139332,-097.6825965
144,144,48453002113,18.9,5.2,11.4,36.7,29.5,31.3,68.5,23.5,2.3,17.1,28.7,30.1,5.2,11.4,36.7,29.5,31.3,68.5,23.5,2.3,17.1,28.7,30.1,3.7,+30.3170432,-097.6725318,48453002113,+30.3170432,-097.6725318
145,145,48453002201,21.5,4.3,16.3,37.2,37.6,35.5,68.1,38.5,3.4,15.5,20.1,22.2,4.3,16.3,37.2,37.6,35.5,68.1,38.5,3.4,15.5,20.1,22.2,8.6,+30.3191767,-097.6559615,48453002201,+30.3191767,-097.6559615
146,146,48453002202,17.1,3.0,13.3,33.0,38.1,29.8,64.0,44.4,4.4,25.6,18.7,20.7,3.0,13.3,33.0,38.1,29.8,64.0,44.4,4.4,25.6,18.7,20.7,9.3,+30.3166763,-097.6303394,48453002202,+30.3166763,-097.6303394
147,147,48453002208,15.8,2.9,12.5,33.6,37.4,28.4,59.8,47.3,32.9,19.1,18.9,22.4,2.9,12.5,33.6,37.4,28.4,59.8,47.3,32.9,19.1,18.9,22.4,0.5,+30.2760555,-097.6535723,48453002208,+30.2760555,-097.6535723
148,148,48453002211,12.9,2.8,8.8,28.7,30.7,21.8,61.8,34.1,9.9,10.9,23.3,24.1,2.8,8.8,28.7,30.7,21.8,61.8,34.1,9.9,10.9,23.3,24.1,6.6,+30.2742983,-097.6192558,48453002211,+30.2742983,-097.6192558
149,149,48453002212,16.1,3.5,10.9,33.3,34.0,27.1,63.3,36.4,0.0,13.0,20.9,24.9,3.5,10.9,33.3,34.0,27.1,63.3,36.4,0.0,13.0,20.9,24.9,4.1,+30.3104028,-097.5907723,48453002212,+30.3104028,-097.5907723
150,150,48453002304,11.8,2.3,9.0,30.6,32.2,22.2,55.5,46.0,23.4,57.4,19.7,22.8,2.3,9.0,30.6,32.2,22.2,55.5,46.0,23.4,57.4,19.7,22.8,17.8,+30.2428325,-097.7235945,48453002304,+30.2428325,-097.7235945
151,151,48453002307,13.2,3.1,8.7,32.2,29.2,23.0,59.5,34.8,11.0,38.0,24.0,28.7,3.1,8.7,32.2,29.2,23.0,59.5,34.8,11.0,38.0,24.0,28.7,9.2,+30.2230762,-097.7411143,48453002307,+30.2230762,-097.7411143
152,152,48453002308,9.7,2.8,5.4,26.8,23.1,17.5,60.5,24.7,24.5,40.3,26.5,32.5,2.8,5.4,26.8,23.1,17.5,60.5,24.7,24.5,40.3,26.5,32.5,9.9,+30.2290131,-097.7521621,48453002308,+30.2290131,-097.7521621
153,153,48453002310,17.6,3.5,13.4,36.4,35.5,28.1,60.2,49.1,30.5,29.5,20.1,23.4,3.5,13.4,36.4,35.5,28.1,60.2,49.1,30.5,29.5,20.1,23.4,6.3,+30.2423539,-097.6592003,48453002310,+30.2423539,-097.6592003
154,154,48453002312,15.0,2.9,12.2,34.0,34.1,24.8,59.3,48.0,49.2,14.0,18.1,23.8,2.9,12.2,34.0,34.1,24.8,59.3,48.0,49.2,14.0,18.1,23.8,7.4,+30.2261209,-097.6946655,48453002312,+30.2261209,-097.6946655
155,155,48453002313,10.8,2.6,6.8,28.0,27.6,19.1,60.1,31.4,0.0,29.2,26.0,28.6,2.6,6.8,28.0,27.6,19.1,60.1,31.4,0.0,29.2,26.0,28.6,13.7,+30.2201787,-097.7259167,48453002313,+30.2201787,-097.7259167
156,156,48453002314,10.1,2.1,7.0,27.7,29.9,20.3,58.0,37.6,0.0,96.6,21.4,25.5,2.1,7.0,27.7,29.9,20.3,58.0,37.6,0.0,96.6,21.4,25.5,16.5,+30.2246964,-097.7155118,48453002314,+30.2246964,-097.7155118
157,157,48453002315,11.0,2.3,8.2,29.0,31.2,20.2,56.9,43.6,0.0,59.4,19.7,25.2,2.3,8.2,29.0,31.2,20.2,56.9,43.6,0.0,59.4,19.7,25.2,10.4,+30.2339238,-097.7321357,48453002315,+30.2339238,-097.7321357
158,158,48453002316,11.5,2.1,9.3,30.1,33.6,21.9,55.6,49.8,0.0,37.5,18.4,22.6,2.1,9.3,30.1,33.6,21.9,55.6,49.8,0.0,37.5,18.4,22.6,19.7,+30.2313978,-097.7258685,48453002316,+30.2313978,-097.7258685
159,159,48453002317,5.8,1.2,4.3,20.0,24.3,14.6,57.1,40.5,57.4,4.0,18.0,25.4,1.2,4.3,20.0,24.3,14.6,57.1,40.5,57.4,4.0,18.0,25.4,3.9,+30.2398012,-097.7070944,48453002317,+30.2398012,-097.7070944
160,160,48453002318,11.2,2.2,8.4,29.0,28.9,20.3,58.3,40.7,39.5,39.5,18.9,24.3,2.2,8.4,29.0,28.9,20.3,58.3,40.7,39.5,39.5,18.9,24.3,15.3,+30.2322025,-097.7089288,48453002318,+30.2322025,-097.7089288
161,161,48453002402,12.6,3.4,7.7,31.6,25.6,21.5,61.7,26.7,27.7,38.2,27.3,30.2,3.4,7.7,31.6,25.6,21.5,61.7,26.7,27.7,38.2,27.3,30.2,3.0,+30.2016965,-097.7751694,48453002402,+30.2016965,-097.7751694
162,162,48453002403,15.5,4.4,9.2,34.7,26.6,24.0,64.5,23.4,3.5,12.9,28.6,31.2,4.4,9.2,34.7,26.6,24.0,64.5,23.4,3.5,12.9,28.6,31.2,4.7,+30.2122145,-097.7622832,48453002403,+30.2122145,-097.7622832
163,163,48453002407,13.4,4.3,6.9,31.7,23.4,20.8,65.0,17.8,5.8,16.2,33.4,33.8,4.3,6.9,31.7,23.4,20.8,65.0,17.8,5.8,16.2,33.4,33.8,4.2,+30.1289958,-097.8155856,48453002407,+30.1289958,-097.8155856
164,164,48453002409,17.0,4.4,10.7,36.9,29.3,27.5,64.3,27.5,27.4,24.7,26.6,29.7,4.4,10.7,36.9,29.3,27.5,64.3,27.5,27.4,24.7,26.6,29.7,3.2,+30.2075361,-097.7935687,48453002409,+30.2075361,-097.7935687
165,165,48453002410,15.4,3.8,9.8,34.4,29.5,24.7,61.8,32.7,13.0,33.1,24.8,28.3,3.8,9.8,34.4,29.5,24.7,61.8,32.7,13.0,33.1,24.8,28.3,10.9,+30.2057643,-097.7866656,48453002410,+30.2057643,-097.7866656
166,166,48453002411,15.8,2.8,13.1,35.1,37.1,26.2,58.1,53.2,14.5,14.8,17.8,23.0,2.8,13.1,35.1,37.1,26.2,58.1,53.2,14.5,14.8,17.8,23.0,8.6,+30.2052875,-097.7488784,48453002411,+30.2052875,-097.7488784
167,167,48453002412,15.7,3.1,12.8,34.9,34.2,24.8,60.3,47.0,4.4,18.1,20.2,24.2,3.1,12.8,34.9,34.2,24.8,60.3,47.0,4.4,18.1,20.2,24.2,2.9,+30.1894059,-097.7514898,48453002412,+30.1894059,-097.7514898
168,168,48453002413,14.7,2.5,12.2,33.4,37.0,25.5,57.7,54.3,25.6,26.3,17.0,22.1,2.5,12.2,33.4,37.0,25.5,57.7,54.3,25.6,26.3,17.0,22.1,10.4,+30.1971090,-097.7402767,48453002413,+30.1971090,-097.7402767
169,169,48453002419,10.1,2.2,7.0,27.7,29.2,19.3,58.5,37.3,29.3,77.3,22.9,24.9,2.2,7.0,27.7,29.2,19.3,58.5,37.3,29.3,77.3,22.9,24.9,11.4,+30.1912902,-097.7609149,48453002419,+30.1912902,-097.7609149
170,170,48453002421,10.7,3.3,5.7,28.5,23.3,18.5,62.8,19.2,13.7,14.5,32.0,33.2,3.3,5.7,28.5,23.3,18.5,62.8,19.2,13.7,14.5,32.0,33.2,3.1,+30.1628742,-097.8065266,48453002421,+30.1628742,-097.8065266
171,171,48453002422,15.4,4.1,9.4,34.8,28.2,24.7,63.6,27.0,14.4,51.7,27.5,29.8,4.1,9.4,34.8,28.2,24.7,63.6,27.0,14.4,51.7,27.5,29.8,10.7,+30.1834374,-097.7848165,48453002422,+30.1834374,-097.7848165
172,172,48453002423,15.3,4.2,8.8,35.1,27.4,25.2,64.4,22.6,13.0,43.2,28.7,31.1,4.2,8.8,35.1,27.4,25.2,64.4,22.6,13.0,43.2,28.7,31.1,1.8,+30.1797494,-097.8062266,48453002423,+30.1797494,-097.8062266
173,173,48453002424,17.3,4.7,10.2,36.6,28.5,26.9,64.0,27.6,7.1,8.9,27.1,30.9,4.7,10.2,36.6,28.5,26.9,64.0,27.6,7.1,8.9,27.1,30.9,7.9,+30.1921825,-097.7992414,48453002424,+30.1921825,-097.7992414
174,174,48453002425,10.5,3.2,6.0,28.7,23.9,18.7,63.0,20.0,0.0,8.5,32.8,31.1,3.2,6.0,28.7,23.9,18.7,63.0,20.0,0.0,8.5,32.8,31.1,0.4,+30.1630433,-097.7822186,48453002425,+30.1630433,-097.7822186
175,175,48453002426,11.7,2.8,8.2,30.0,29.2,20.6,62.2,31.6,0.0,0.0,25.3,27.9,2.8,8.2,30.0,29.2,20.6,62.2,31.6,0.0,0.0,25.3,27.9,0.0,+30.1445022,-097.7497211,48453002426,+30.1445022,-097.7497211
176,176,48453002427,15.6,3.1,11.9,35.0,34.2,25.7,60.1,45.4,14.9,32.3,20.9,24.8,3.1,11.9,35.0,34.2,25.7,60.1,45.4,14.9,32.3,20.9,24.8,4.6,+30.1806844,-097.7634198,48453002427,+30.1806844,-097.7634198
177,177,48453002428,21.0,7.2,10.0,40.7,24.7,31.8,69.3,18.5,5.6,25.5,32.3,34.9,7.2,10.0,40.7,24.7,31.8,69.3,18.5,5.6,25.5,32.3,34.9,2.7,+30.1197796,-097.7721278,48453002428,+30.1197796,-097.7721278
178,178,48453002429,7.2,2.4,3.3,22.6,20.0,13.5,60.7,17.3,0.0,39.8,32.1,35.9,2.4,3.3,22.6,20.0,13.5,60.7,17.3,0.0,39.8,32.1,35.9,1.5,+30.1674713,-097.7743180,48453002429,+30.1674713,-097.7743180
179,179,48453002430,17.0,3.7,12.2,36.1,33.2,26.7,61.3,41.0,36.0,23.2,21.6,25.5,3.7,12.2,36.1,33.2,26.7,61.3,41.0,36.0,23.2,21.6,25.5,0.0,+30.1717084,-097.7550439,48453002430,+30.1717084,-097.7550439
180,180,48453002431,13.6,3.1,9.7,32.1,30.9,22.8,61.3,36.7,4.8,6.4,23.7,27.1,3.1,9.7,32.1,30.9,22.8,61.3,36.7,4.8,6.4,23.7,27.1,5.8,+30.1945040,-097.7178849,48453002431,+30.1945040,-097.7178849
181,181,48453002432,19.8,4.5,13.9,38.6,33.4,28.8,62.1,42.5,3.3,7.9,21.5,24.8,4.5,13.9,38.6,33.4,28.8,62.1,42.5,3.3,7.9,21.5,24.8,3.4,+30.1299275,-097.7257111,48453002432,+30.1299275,-097.7257111
182,182,48453002433,12.4,2.9,8.7,30.1,29.9,21.4,62.9,32.1,10.1,23.4,25.5,26.8,2.9,8.7,30.1,29.9,21.4,62.9,32.1,10.1,23.4,25.5,26.8,2.1,+30.1805701,-097.5664812,48453002433,+30.1805701,-097.5664812
183,183,48453002435,12.6,2.7,9.1,30.2,32.1,21.8,61.2,37.7,15.5,12.8,24.0,26.1,2.7,9.1,30.2,32.1,21.8,61.2,37.7,15.5,12.8,24.0,26.1,0.7,+30.1361791,-097.6322484,48453002435,+30.1361791,-097.6322484
184,184,48453002500,15.1,5.6,6.4,34.4,20.7,24.1,67.2,11.7,7.5,31.6,34.7,37.4,5.6,6.4,34.4,20.7,24.1,67.2,11.7,7.5,31.6,34.7,37.4,6.7,+30.4166340,-097.7553141,48453002500,+30.4166340,-097.7553141
